d.kode_rs,d.nama_rs,d.nama_prop,d.jenis_rs,d.kelas,d.pemilik,(d.total_tt)
3520014,RS Ibu dan Anak Sekar Wangi,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,18
3504073,RS Putra Waspada Tulungagung,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,49
3521014,RS Umum Widodo,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,130
3578779,RS Ibu dan Anak Lombok Dua Dua,JAWA TIMUR,RSIA,C,Perusahaan,30
3515134,RS Ibu dan Anak Buah Delima,JAWA TIMUR,RSIA,C,Organisasi Sosial,17
3515133,RS Ibu dan Anak Mitra Husada,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,27
3511012,RS Bhayangkara Bondowoso ,JAWA TIMUR,RSU,C,POLRI,92
3578774,RS Ibu dan Anak Nur Ummi Numbi,JAWA TIMUR,RSIA,C,Perusahaan,32
3578773,RS Ibu dan Anak Bantuan 05.08.05 Surabaya,JAWA TIMUR,RSIA,C,TNI AD,33
3515131,RS Umum Citra Medika,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,102
3513026,RS Umum  Wonolangan,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,59
3573253,RS Ibu dan Anak Melati Husada,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,26
3573252,RS Ibu dan Anak Mutiara Bunda,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,24
3515129,RS Ibu dan Anak Soerya,JAWA TIMUR,RSIA,C,Perusahaan,23
3509135,RS Bina Sehat Jember,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,238
3510103,RS Al Huda ,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,214
3506062,RS Umum  Aura Syifa,JAWA TIMUR,RSU,C,Perusahaan,96
3573251,RS Ibu dan Anak Mardi Waloeja Rampal Malang,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,15
3512035,RS Ibu dan Anak Fatimah Lamongan,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,56
3520013,RS Ibu dan Anak Bhakti Persada,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,24
3571148,RS Ibu dan Anak Melinda,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,15
3573250,RS Ibu dan Anak Puri Bunda,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,59
3507248,RS Bedah Hasta Husada,JAWA TIMUR,RSK BEDAH,C,SWASTA/ LAINNYA,44
3573247,RS Ibu dan Anak Permata Hati,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,23
3573246,RSU Hermina Tangkubanprahu,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,81
3507099,RS Prasetya Husada,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,83
3573244,RS Ibu dan Anak Puri,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,24
3516075,RS Mawaddah Medika,JAWA TIMUR,RSU,C,Perusahaan,51
3571145,RS Ibu dan Anak Citra Keluarga,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,25
3525088,RS Muhammadiyah Gresik,JAWA TIMUR,RSU,C,Organisasi Islam ,102
3507098,RS Mitra Delima,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,61
3503045,RS Ibu dan Anak HST,JAWA TIMUR,RSIA,C,Perorangan,24
3513025,RS Ibu dan Anak Fatimah Kraksaan,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,29
3573243,RS Ibu dan Anak Mardi Waloeja Kauman Malang,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,23
3519024,RS Umum Daerah Dolopo,JAWA TIMUR,RSU,C,Pemkab,92
3515126,RS Umum Al-Islam H. M. Mawardi,JAWA TIMUR,RSU,C,Organisasi Islam ,86
3577086,RS Umum Griya Husada Madiun,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,40
3515125,RS Ibu dan Anak Kirana,JAWA TIMUR,RSIA,C,Perusahaan,24
3506060,RS Ibu dan Anak Kasih Bunda,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,31
3505036,RS Ibu dan Anak Kirana Husada,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,0
3516032,RS Sido Waras,JAWA TIMUR,RSU,C,Perusahaan,89
3573097,RS Ibu dan Anak Husada Bunda,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,24
3504068,RS Umum Bhayangkara Tulungagung,JAWA TIMUR,RSU,C,POLRI,109
3578771,RS Ibu dan Anak Putri Surabaya,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,40
3578768,RS Ibu dan Anak Lombok Dua Dua Lontar,JAWA TIMUR,RSIA,C,Perusahaan,25
3578767,RS Ibu dan Anak Cempaka Putih Permata,JAWA TIMUR,RSIA,C,Perusahaan,17
3578766,RS Wiyung Sejahtera,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,84
3578322,RS Paru Surabaya,JAWA TIMUR,RSK PARU,C,Pemprop,97
3508055,RS Djatiroto,JAWA TIMUR,RSU,C,BUMN,90
3523053,RS Nahdlatul Ulama Tuban,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,90
3508054,RS Bhayangkara Lumajang ,JAWA TIMUR,RSU,C,POLRI,83
3577052,RS Ibu dan Anak Al Hasanah,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,36
3518045,RS Umum Bhayangkara Tk. III Nganjuk,JAWA TIMUR,RSU,C,POLRI,86
3572065,RS Umum Aminah,JAWA TIMUR,RSU,C,Organisasi Islam ,78
3524042,RS Umum Daerah Ngimbang,JAWA TIMUR,RSU,C,Pemkab,120
3504057,RS Ibu dan Anak Fauziah ,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,41
3504056,RS Umum Era Medika ,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,100
3505024,RS Umum  Aulia Blitar,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,74
3515121,RS Umum Anwar Medika ,JAWA TIMUR,RSU,C,Organisasi Sosial,197
3507085,RS Umum Daerah Lawang ,JAWA TIMUR,RSU,C,Pemkab,118
3518047,RS Ibu dan Anak Alf Subtin,JAWA TIMUR,RSIA,C,Perusahaan,22
3578753,RS Onkologi,JAWA TIMUR,RSK KANKER,C,SWASTA/ LAINNYA,22
3578742,RS Islam Darus Syifa,JAWA TIMUR,RSU,C,Organisasi Sosial,123
3578614,RS Bhakti Rahayu,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,67
3578593,RS Ibu dan Anak Pura Raharja,JAWA TIMUR,RSIA,C,Organisasi Sosial,43
3578476,RS Umum Al-Irsyad Surabaya,JAWA TIMUR,RSU,C,Organisasi Sosial,143
3578261,RS Ibu dan Anak IBI Surabaya,JAWA TIMUR,RSIA,C,Organisasi Sosial,23
3578144,RS Marinir Ewa Pangalila Gunungsari,JAWA TIMUR,RSU,C,TNI AL,69
3578122,RS Umum Tk. III Brawijaya,JAWA TIMUR,RSU,C,TNI AD,88
3578100,RS Umum Adi Husada Kapasari,JAWA TIMUR,RSU,C,Organisasi Sosial,86
3578053,RS Darmo,JAWA TIMUR,RSU,C,Organisasi Sosial,138
3578031,RS William Booth Surabaya,JAWA TIMUR,RSU,C,Organisasi Protestan,100
3577085,RS Umum Daerah Kota Madiun,JAWA TIMUR,RSU,C,Pemkot,157
3577074,RS Umum Islam Siti Aisyah,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,122
3520041,RS Angkatan Udara dr. Efram Harsana,JAWA TIMUR,RSU,C,TNI AU,93
3577026,RS Umum Santa Clara,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,112
3516073,RS Umum Daerah Raden Achmad Basoeni,JAWA TIMUR,RSU,C,Pemkab,154
3516062,RS Islam Sakinah,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,185
3576051,RS Islam Hasanah Muhammadiyah ,JAWA TIMUR,RSU,C,Organisasi Islam ,67
3576040,RS Reksa Waluya,JAWA TIMUR,RSU,C,Organisasi Sosial,62
3576036,RS Gatoel,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,160
3575013,RS Umum Daerah Dr. R. Soedarsono Kota Pasuruan,JAWA TIMUR,RSU,C,Pemkot,225
3574012,RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,JAWA TIMUR,RSU,C,Pemkot,152
3573226,RS Islam Malang,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,89
3573215,RSU Islam Aisyiyah Malang,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,147
3507204,RS Umum Islam Gondang Legi,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,76
3573135,RS Ibu dan Anak Muhammadiyah Malang,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,26
3572021,RS Katolik Budi Rahayu,JAWA TIMUR,RSU,C,Organisasi Sosial,91
3571122,RS Muhammadiyah Ahmad Dahlan,JAWA TIMUR,RSU,C,Organisasi Islam ,173
3571111,RS Ibu dan Anak Nirmala Kediri,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,22
3571020,RS TK. IV 05.07.02 Kediri,JAWA TIMUR,RSU,C,TNI AD,101
3529014,RS Umum Daerah dr. H. Moh. Anwar ,JAWA TIMUR,RSU,C,Pemkab,155
3527012,RS Umum Daerah Kab. Sampang,JAWA TIMUR,RSU,C,Pemkab,172
3525076,RS Petrokimia Gresik,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,87
3525043,RS Ibu dan Anak Nyai Ageng Pinatih Gresik,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,37
3525021,RS Semen Gresik,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,92
3524020,RS Islam Nashrul Ummah,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,83
3523041,RS Medika Mulia Tuban,JAWA TIMUR,RSU,C,Organisasi Sosial,104
3522025,RS Umum Aisyiyah Bojonegoro,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,167
3521013,RS Umum Daerah Dr. Soeroto Ngawi,JAWA TIMUR,RSU,C,Pemkab,172
3520012,RS Umum Daerah dr. Sayidiman Magetan,JAWA TIMUR,RSU,C,Pemkab,176
3519023,RS Umum Daerah Caruban,JAWA TIMUR,RSU,C,Pemkab,194
3519012,RS Paru Dungus,JAWA TIMUR,RSK PARU,C,Pemprop,52
3518022,RS Umum Daerah Kertosono,JAWA TIMUR,RSU,C,Pemkab,240
3517043,RS Ibu dan Anak Muslimat Jombang,JAWA TIMUR,RSIA,C,SWASTA/ LAINNYA,104
3517021,RS Kristen Mojowarno,JAWA TIMUR,RSU,C,Organisasi Protestan,85
3516016,RS Umum Sumberglagah Mojokerto,JAWA TIMUR,RSU,C,Pemprop,104
3515096,RS Umum Delta Surya,JAWA TIMUR,RSU,C,Perusahaan,129
3515030,RS Umum  Pusdik Polri Porong ,JAWA TIMUR,RSU,C,POLRI,102
3513024,RS Graha Sehat,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,83
3513013,RS Umum Daerah Waluyo Jati Kraksaan,JAWA TIMUR,RSU,C,Pemkab,230
3512034,RS Elizabeth,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,79
3512012, RS Umum Daerah dr. Abdoer Rahem Kabupaten Situbon,JAWA TIMUR,RSU,C,Pemkab,164
3510102,RS Nahdlatul Ulama Banyuwangi,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,72
3510076,RS Yasmin,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,63
3510054,RS Islam Fatimah,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,68
3510043, RS Umum Daerah Genteng,JAWA TIMUR,RSU,C,Pemkab,125
3510021,RS Umum Bhakti Husada,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,90
3509134, RS Daerah Balung Jember,JAWA TIMUR,RSU,C,Pemkab,126
3509123, RS Daerah Kalisat Jember,JAWA TIMUR,RSU,C,Pemkab,100
3509112,RS Gigi dan Mulut Fakultas Kedokteran Gigi Jember,JAWA TIMUR,RSK GM,C,Kementerian Lain,3
3509032, RS Tk.III Baladhika Husada Jember,JAWA TIMUR,RSU,C,TNI AD,105
3509021,RS Perkebunan PTPN X (Persero) Jember,JAWA TIMUR,RSU,C,BUMN,133
3508053,RS Wijaya Kusuma,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,91
3579074,RS Baptis Batu,JAWA TIMUR,RSU,C,Organisasi Katholik,95
3506025,RS Toelongredjo,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,110
3504045,RS Umum Islam Orpeha,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,84
3503011,RS Umum Daerah dr. Soedomo Trenggalek,JAWA TIMUR,RSU,C,Pemkab,228
3502134,RS Umum Muhammadiyah Ponorogo,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,134
3502123,RS Umum Darmayu Ponorogo,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,108
3502112,RS Umum Aisyiyah Ponorogo,JAWA TIMUR,RSU,C,SWASTA/ LAINNYA,138
3501016,RS Umum Daerah  dr. Darsono,JAWA TIMUR,RSU,C,Pemkab,181
3402084,RS Universitas Islam Indonesia,D I YOGYAKARTA,RSU,C,SWASTA/ LAINNYA,39
3402082,RS Khusus Ibu dan Anak Adinda,D I YOGYAKARTA,RSIA,C,SWASTA/ LAINNYA,26
3471380,RS Siloam Yogyakarta,D I YOGYAKARTA,RSU,C,Perusahaan,52
3402081,Rumah Sakit Bedah Adelia,D I YOGYAKARTA,RSK BEDAH,C,SWASTA/ LAINNYA,18
3471379,RS Khusus Ibu dan Anak Rachmi,D I YOGYAKARTA,RSIA,C,Perusahaan,11
3471378,RS Khusus Ibu dan Anak Fajar,D I YOGYAKARTA,RSIA,C,SWASTA/ LAINNYA,15
3402080,RS Khusus Ibu dan Anak Kahyangan,D I YOGYAKARTA,RSIA,C,Perusahaan,12
3404193,RS Umum Hermina Yogya,D I YOGYAKARTA,RSU,C,Perusahaan,39
3401052,RS Umum Daerah Nyi Ageng Serang,D I YOGYAKARTA,RSU,C,Pemkab,62
3403023,RS Umum Panti Rahayu,D I YOGYAKARTA,RSU,C,SWASTA/ LAINNYA,41
3402077,RS Umum Griya Mahardika Yogyakarta,D I YOGYAKARTA,RSU,C,Perusahaan,66
3471121,RS Paru Respira,D I YOGYAKARTA,RSK PARU,C,Pemprop,26
3404187,RS Khusus Ibu Anak Sadewa,D I YOGYAKARTA,RSIA,C,Perusahaan,42
3404185,RS Khusus Bedah Sinduadi,D I YOGYAKARTA,RSK BEDAH,C,Perusahaan,17
3402076,RS Khusus Bedah Ring Road Selatan,D I YOGYAKARTA,RSK BEDAH,C,SWASTA/ LAINNYA,22
3404183,RS Umum PKU Muhammadiyah Gamping,D I YOGYAKARTA,RSU,C,Organisasi Sosial,143
3471107,RS Khusus Ibu dan Anak  PKU Muhammadiyah Kotagede ,D I YOGYAKARTA,RSIA,C,Organisasi Islam ,31
3404180,RS Ibu Anak Arvita Bunda,D I YOGYAKARTA,RSIA,C,Organisasi Sosial,23
3404168,RS Umum Daerah Prambanan,D I YOGYAKARTA,RSU,C,Pemkab,85
3471325,RS Khusus Ibu dan Anak Permata Bunda,D I YOGYAKARTA,RSIA,C,Organisasi Sosial,20
3471303,RS Khusus Ibu dan Anak 45 Prof. Dr. Ismangoen,D I YOGYAKARTA,RSIA,C,Organisasi Sosial,15
3471256,RS Khusus Ibu dan Anak Bhakti Ibu,D I YOGYAKARTA,RSIA,C,Organisasi Sosial,15
3471223, RSU Bedah Patmasuri,D I YOGYAKARTA,RSU,C,Organisasi Sosial,0
3471085,RS Khusus Jiwa Puri Nirmala,D I YOGYAKARTA,RSK Jiwa,C,Organisasi Sosial,28
3471030,RS Tk. III 04.06.03 Dr. Soetarto,D I YOGYAKARTA,RSU,C,TNI AD,70
3404157,RS Umum Sakina Idaman,D I YOGYAKARTA,RSU,C,Organisasi Sosial,54
3404146,RS Islam Yayasan PDHI,D I YOGYAKARTA,RSU,C,Organisasi Sosial,82
3404102,RS Umum Panti Rini,D I YOGYAKARTA,RSU,C,Organisasi Katholik,52
3404070,RSK Bedah An-Nur,D I YOGYAKARTA,RSK BEDAH,C,Organisasi Sosial,32
3403010,RS Umum Daerah Wonosari,D I YOGYAKARTA,RSU,C,Pemkab,161
3402042,RS Ibu Anak Ummi Khasanah,D I YOGYAKARTA,RSIA,C,Organisasi Sosial,25
3402031,RSU PKU Muhammadiyah Bantul,D I YOGYAKARTA,RSU,C,Organisasi Islam ,153
3308022,RS Daerah Merah Putih,JAWA TENGAH,RSU,C,Pemkab,96
3311231,RS Islam Surakarta YARSIS,JAWA TENGAH,RSU,C,Organisasi Islam ,95
3321035,RS Umum Daerah Sultan Fatah Karangawen Demak,JAWA TENGAH,RSU,C,Pemkab,110
3374373,RS Gigi dan Mulut Unimus,JAWA TENGAH,RSK GM,C,SWASTA/ LAINNYA,4
3372242,RS Onkologi Solo,JAWA TENGAH,RSK KANKER,C,SWASTA/ LAINNYA,17
3372241,RS ,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,95
3372240,RSU Umum Daerah Bung Karno Kota Surakarta,JAWA TENGAH,RSU,C,Pemkot,50
3372239,RS Gigi dan Mulut Soelastri,JAWA TENGAH,RSK GM,C,Perorangan,3
3308021,RS Umum Syubbanul Wathon,JAWA TENGAH,RSU,C,Perusahaan,39
3317027,RS Bhina Bhakti Husada,JAWA TENGAH,RSU,C,Perusahaan,97
3302232,RS Hermina Purwokerto,JAWA TENGAH,RSU,C,Perusahaan,59
3311229,RS Umum Indriati,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,140
3305120,RS Umum Daerah Prembun,JAWA TENGAH,RSU,C,Pemkab,96
3303101,RS Umum Siaga Medika Purbalingga ,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,77
3326051,RS Ibu dan Anak Aisyiyah Pekajangan Pekalongan,JAWA TENGAH,RSIA,C,Organisasi Islam ,33
3311228,RS Umum Universitas Sebelas Maret,JAWA TENGAH,RSU,C,Kementerian Lain,100
3374369,RS Ibu dan Anak Ananda Pasar Ace,JAWA TENGAH,RSIA,C,Perusahaan,23
3310421,RS Umum Daerah Bagas Waras,JAWA TENGAH,RSU,C,Pemkab,145
3307051,RS Umum  PKU Muhammadiyah Wonosobo,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,105
3311225,RS Umum PKU Muhammadiyah Sukoharjo,JAWA TENGAH,RSU,C,Organisasi Islam ,97
3372236,RS Umum Hermina Solo,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,67
3374367,RS Umum Nasional Diponegoro,JAWA TENGAH,RSU,C,Kementerian Lain,272
3374365,RS Umum Hermina Banyumanik Semarang,JAWA TENGAH,RSU,C,Perusahaan,70
3302229,RS Umum Dadi Keluarga,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,107
3329105,RS Ibu dan Anak Permata Insani,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,23
3328079,RS Ibu dan Anak Pala Raya,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,71
3372235,RS Khusus Mata Solo,JAWA TENGAH,RSK Mata,C,Perusahaan,19
3327046,RS Ibu dan Anak Siti Aminah Pemalang,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,0
3303099,RS Ibu dan Anak Ummu Hani,JAWA TENGAH,RSIA,C,Perusahaan,45
3306108,RS Ibu dan Anak Kasih Ibu Purworejo,JAWA TENGAH,RSIA,C,Organisasi Sosial,24
3327045,RS Umum Prima Medika ,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,127
3302226,RS Ibu dan Anak Budhi Asih,JAWA TENGAH,RSIA,C,Organisasi Sosial,17
3302225,RS Khusus Bedah Mitra Ariva,JAWA TENGAH,RSK BEDAH,C,Organisasi Sosial,25
3373092,RS Bersalin Mutiara Bunda  Salatiga,JAWA TENGAH,RSIA,C,Perorangan,17
3322072,RS Ibu dan Anak Plamongan Indah,JAWA TENGAH,RSIA,C,Perusahaan,24
3319023,RS Ibu dan Anak Harapan Bunda,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,34
3306105,RS Ibu dan Anak Permata,JAWA TENGAH,RSIA,C,Perusahaan,25
3327044,RS Umum Siaga Medika Pemalang ,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,209
3321034,RS Umum Pelita Anugerah,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,97
3374091,RS Umum Bhayangkara Semarang ,JAWA TENGAH,RSU,C,POLRI,91
3325037,RS Umum Qim,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,158
3322034,RS Umum Ken Saras,JAWA TENGAH,RSU,C,Perusahaan,177
3328035,RS Umum Daerah Suradadi,JAWA TENGAH,RSU,C,Pemkab,87
3314089,RS Umum Daerah dr. Soeratno Gemolong,JAWA TENGAH,RSU,C,Pemkab,146
3328042,RSU Mitra Keluarga Tegal,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,84
3314078,RS Ibu dan Anak Restu Ibu,JAWA TENGAH,RSIA,C,Organisasi Sosial,46
3302063, RS Khusus Bedah Jatiwinangun,JAWA TENGAH,RSK BEDAH,C,SWASTA/ LAINNYA,50
3374054,RS Umum Permata Medika ,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,125
3318108,RS Umum Keluarga Sehat ,JAWA TENGAH,RSU,C,Organisasi Sosial,198
3313042, RS Ibu dan Anak Dian Pertiwi ,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,25
3311027,RS Khusus Bedah Karima Utama,JAWA TENGAH,RSK BEDAH,C,SWASTA/ LAINNYA,94
3302174,RS Ibu dan Anak Bunda Arif,JAWA TENGAH,RSIA,C,Organisasi Sosial,41
3302121,RS Ibu dan Anak Amanah,JAWA TENGAH,RSIA,C,Organisasi Sosial,20
3302052,RS Khusus Bedah Orthopedi,JAWA TENGAH,RSK Orthopedi,C,SWASTA/ LAINNYA,47
3376093, RS Ibu dan Anak Kasih Ibu Tegal,JAWA TENGAH,RSIA,C,Organisasi Sosial,25
3376023,RS Umum  Mitra Siaga,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,219
3375033,RS Umum Siti Khodijah,JAWA TENGAH,RSU,C,Organisasi Islam ,101
3375022,RS Umum Budi Rahayu,JAWA TENGAH,RSU,C,Organisasi Protestan,144
3374353, RS Ibu dan Anak Kusuma Pradja,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,40
3374316, RS Ibu dan Anak Gunung Sawo,JAWA TENGAH,RSIA,C,Organisasi Sosial,20
3374284, RS Ibu dan Anak Bunda Semarang,JAWA TENGAH,RSIA,C,Organisasi Sosial,25
3374273, RS Ibu dan Anak Anugerah,JAWA TENGAH,RSIA,C,SWASTA/ LAINNYA,21
3374240,RS Panti Wilasa ,JAWA TENGAH,RSU,C,Organisasi Protestan,155
3374145,RS Umum Hermina Pandanaran,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,72
3374112, RS Umum Panti Wilasa Citarum,JAWA TENGAH,RSU,C,Organisasi Protestan,175
3374080, RS Umum Roemani Muhammadiyah,JAWA TENGAH,RSU,C,Organisasi Islam ,178
3374065, RS Umum Tk.III Bhakti Wira Tamtama Smg,JAWA TENGAH,RSU,C,TNI AD,126
3374032,RS Umum William Booth,JAWA TENGAH,RSU,C,Organisasi Sosial,71
3373090,RS Umum Puri Asih,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,114
3373020,RS Umum Tk. IV 04.07.03 dr. Asmir,JAWA TENGAH,RSU,C,TNI AD,118
3372234, RS Umum Daerah Kota Surakarta,JAWA TENGAH,RSU,C,Pemkot,113
3372132,RS Umum Islam Kustati,JAWA TENGAH,RSU,C,Organisasi Islam ,191
3372074, RS Umum Panti Waluyo,JAWA TENGAH,RSU,C,Organisasi Sosial,73
3372041,RS Umum Brayat Minulya,JAWA TENGAH,RSU,C,Organisasi Sosial,85
3372030, RS Umum Tk IV Slamet Riyadi Surakarta,JAWA TENGAH,RSU,C,TNI AD,94
3371131,RS Umum Harapan,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,80
3371105, RS Ibu dan Anak Gladiool,JAWA TENGAH,RSIA,C,Organisasi Sosial,15
3329078,RS Umum Bhakti Asih,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,164
3328055,RSU Islam PKU Muhammadiyah,JAWA TENGAH,RSU,C,Organisasi Sosial,188
3327021,RS Umum Santa Maria Pemalang,JAWA TENGAH,RSU,C,Organisasi Katholik,129
3327010,RS Umum Daerah Dr. M Ashari Pemalang,JAWA TENGAH,RSU,C,Pemkab,211
3326049, RS Umum Daerah Bendan Kota Pekalongan,JAWA TENGAH,RSU,C,Pemkot,203
3326038, RS Umum Daerah Kajen Kab.Pekalongan,JAWA TENGAH,RSU,C,Pemkab,130
3326016,RS Umum Islam PKU Muhammadiyah Pekajangan,JAWA TENGAH,RSU,C,Organisasi Islam ,140
3325015,RS Umum Daerah Kab. Batang,JAWA TENGAH,RSU,C,Pemkab,217
3324036,RS Umum Islam Kendal,JAWA TENGAH,RSU,C,Organisasi Islam ,184
3323050,RS Umum PKU Muhammadiyah Temanggung,JAWA TENGAH,RSU,C,Organisasi Islam ,136
3323024,RS Umum Ngesti Waluyo,JAWA TENGAH,RSU,C,Organisasi Protestan,140
3322023, RS Umum Daerah Ungaran,JAWA TENGAH,RSU,C,Pemkab,183
3322012, RS Umum Daerah dr. Gunawan Mangunkusumo,JAWA TENGAH,RSU,C,Pemkab,235
3321011,RS Umum Daerah Sunan Kalijaga,JAWA TENGAH,RSU,C,Pemkab,294
3320032,RS Umum Sultan Hadlirin Jepara,JAWA TENGAH,RSU,C,Organisasi Islam ,123
3320021,RS Umum Daerah Kelet Provinsi Jawa Tengah,JAWA TENGAH,RSU,C,Pemprop,197
3319091,RS Ibu dan Anak Permata Hati,JAWA TENGAH,RSIA,C,Organisasi Sosial,28
3319080, RS Umum  Islam Sunan Kudus,JAWA TENGAH,RSU,C,Organisasi Islam ,177
3318086, RS Umum Daerah Kayen Pati,JAWA TENGAH,RSU,C,Pemkab,90
3318075,RS Umum Mitra Bangsa Pati,JAWA TENGAH,RSU,C,Organisasi Sosial,117
3318064,RS Umum Islam Pati,JAWA TENGAH,RSU,C,Organisasi Islam ,80
3317015, RS Umum Daerah dr. R. Soetrasno Rembang,JAWA TENGAH,RSU,C,Pemkab,239
3316025,RS Umum Daerah Dr. R. Soeprapto Cepu,JAWA TENGAH,RSU,C,Pemkab,108
3316014,RS Umum Daerah Dr. R. Soetijono Blora,JAWA TENGAH,RSU,C,Pemkab,138
3315035, RS Umum Permata Bunda,JAWA TENGAH,RSU,C,Organisasi Sosial,157
3315024,RS Umum Panti Rahayu,JAWA TENGAH,RSU,C,Organisasi Sosial,169
3314056, RS Umum Islam Amal Sehat Sragen,JAWA TENGAH,RSU,C,Organisasi Islam ,95
3314045, RS Umum Sarila Husada,JAWA TENGAH,RSU,C,Organisasi Sosial,107
3313033,RS Umum PKU Muhammadiyah Karang Anyar,JAWA TENGAH,RSU,C,Organisasi Islam ,145
3313011, RS Umum Daerah Karanganyar,JAWA TENGAH,RSU,C,Pemkab,353
3312306,RS Umum  Amal Sehat,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,107
3312295,RS Umum Medika Mulya,JAWA TENGAH,RSU,C,SWASTA/ LAINNYA,88
3311224,RS Umum Dr. Oen Solo Baru,JAWA TENGAH,RSU,C,Organisasi Sosial,154
3310405, RS Khusus Bedah Diponegoro,JAWA TENGAH,RSK BEDAH,C,Organisasi Sosial,61
3310052, RS Ibu dan Anak Aisyiah,JAWA TENGAH,RSIA,C,Organisasi Islam ,82
